date,total_admissions,emergency_visit_count
2020-01-01,50,31
2020-01-02,42,21
2020-01-03,34,25
2020-01-04,46,32
2020-01-05,44,32
2020-01-06,48,21
2020-01-07,51,27
2020-01-08,53,15
2020-01-09,47,19
2020-01-10,67,30
2020-01-11,44,22
2020-01-12,48,30
2020-01-13,33,25
2020-01-14,44,28
2020-01-15,43,25
2020-01-16,47,25
2020-01-17,41,29
2020-01-18,51,24
2020-01-19,49,24
2020-01-20,40,23
2020-01-21,54,19
2020-01-22,51,23
2020-01-23,37,22
2020-01-24,48,17
2020-01-25,49,24
2020-01-26,43,22
2020-01-27,51,24
2020-01-28,41,22
2020-01-29,46,26
2020-01-30,39,27
2020-01-31,48,22
2020-02-01,51,29
2020-02-02,53,23
2020-02-03,43,25
2020-02-04,57,26
2020-02-05,55,28
2020-02-06,54,22
2020-02-07,50,19
2020-02-08,42,27
2020-02-09,51,30
2020-02-10,52,14
2020-02-11,48,18
2020-02-12,48,28
2020-02-13,58,22
2020-02-14,58,18
2020-02-15,53,21
2020-02-16,57,27
2020-02-17,47,27
2020-02-18,38,23
2020-02-19,54,19
2020-02-20,47,24
2020-02-21,47,25
2020-02-22,50,28
2020-02-23,35,32
2020-02-24,41,29
2020-02-25,49,26
2020-02-26,60,23
2020-02-27,48,34
2020-02-28,54,20
2020-02-29,46,35
2020-03-01,52,26
2020-03-02,50,21
2020-03-03,65,28
2020-03-04,60,20
2020-03-05,45,28
2020-03-06,42,21
2020-03-07,60,25
2020-03-08,66,25
2020-03-09,50,22
2020-03-10,43,11
2020-03-11,44,25
2020-03-12,57,26
2020-03-13,48,23
2020-03-14,59,23
2020-03-15,51,32
2020-03-16,55,22
2020-03-17,50,30
2020-03-18,44,24
2020-03-19,55,25
2020-03-20,36,13
2020-03-21,49,25
2020-03-22,50,25
2020-03-23,48,22
2020-03-24,38,24
2020-03-25,56,16
2020-03-26,42,22
2020-03-27,46,22
2020-03-28,46,27
2020-03-29,46,28
2020-03-30,42,29
2020-03-31,56,20
2020-04-01,43,23
2020-04-02,37,33
2020-04-03,45,16
2020-04-04,41,21
2020-04-05,45,23
2020-04-06,46,28
2020-04-07,59,22
2020-04-08,37,20
2020-04-09,48,27
2020-04-10,33,35
2020-04-11,37,25
2020-04-12,51,19
2020-04-13,47,25
2020-04-14,59,25
2020-04-15,50,24
2020-04-16,41,20
2020-04-17,40,27
2020-04-18,50,22
2020-04-19,42,31
2020-04-20,34,29
2020-04-21,41,28
2020-04-22,48,27
2020-04-23,41,20
2020-04-24,59,18
2020-04-25,30,28
2020-04-26,45,23
2020-04-27,54,24
2020-04-28,44,25
2020-04-29,46,22
2020-04-30,40,21
2020-05-01,51,37
2020-05-02,44,22
2020-05-03,45,20
2020-05-04,51,16
2020-05-05,59,19
2020-05-06,55,22
2020-05-07,44,28
2020-05-08,51,28
2020-05-09,32,31
2020-05-10,44,26
2020-05-11,60,20
2020-05-12,50,19
2020-05-13,31,17
2020-05-14,43,21
2020-05-15,48,29
2020-05-16,47,27
2020-05-17,54,17
2020-05-18,38,30
2020-05-19,47,19
2020-05-20,55,20
2020-05-21,36,26
2020-05-22,46,30
2020-05-23,38,23
2020-05-24,52,20
2020-05-25,53,26
2020-05-26,38,30
2020-05-27,45,34
2020-05-28,44,26
2020-05-29,47,22
2020-05-30,49,24
2020-05-31,49,25
2020-06-01,43,27
2020-06-02,72,20
2020-06-03,41,26
2020-06-04,54,29
2020-06-05,52,18
2020-06-06,53,21
2020-06-07,49,19
2020-06-08,61,26
2020-06-09,42,24
2020-06-10,43,28
2020-06-11,54,24
2020-06-12,44,34
2020-06-13,39,32
2020-06-14,50,23
2020-06-15,40,23
2020-06-16,61,24
2020-06-17,47,24
2020-06-18,45,19
2020-06-19,54,19
2020-06-20,42,24
2020-06-21,49,28
2020-06-22,52,26
2020-06-23,41,19
2020-06-24,50,23
2020-06-25,47,24
2020-06-26,63,22
2020-06-27,60,23
2020-06-28,56,18
2020-06-29,58,15
2020-06-30,69,24
2020-07-01,54,21
2020-07-02,52,18
2020-07-03,56,20
2020-07-04,51,24
2020-07-05,41,24
2020-07-06,59,18
2020-07-07,54,28
2020-07-08,46,19
2020-07-09,41,32
2020-07-10,55,23
2020-07-11,45,22
2020-07-12,59,35
2020-07-13,53,22
2020-07-14,47,28
2020-07-15,46,29
